dataset,category,shot,image_auroc,pixel_auroc,pixel_aupro,n_test,runner
mvtec_ad,bottle,0,98.1,63.56,20.81,83,anomalib.WinClipModel
mvtec_ad,cable,0,85.59,69.21,24.4,150,anomalib.WinClipModel
mvtec_ad,capsule,0,68.13,63.39,15.26,132,anomalib.WinClipModel
mvtec_ad,carpet,0,99.16,71.45,20.88,117,anomalib.WinClipModel
mvtec_ad,grid,0,98.91,66.45,25.34,78,anomalib.WinClipModel
mvtec_ad,hazelnut,0,92.43,68.82,22.82,110,anomalib.WinClipModel
mvtec_ad,leather,0,100.0,66.56,19.14,124,anomalib.WinClipModel
mvtec_ad,metal_nut,0,93.6,48.43,23.83,115,anomalib.WinClipModel
mvtec_ad,pill,0,81.48,23.83,25.79,167,anomalib.WinClipModel
mvtec_ad,screw,0,72.25,59.45,17.95,160,anomalib.WinClipModel
mvtec_ad,tile,0,100.0,64.81,25.5,117,anomalib.WinClipModel
mvtec_ad,toothbrush,0,81.67,42.89,22.92,42,anomalib.WinClipModel
mvtec_ad,transistor,0,88.75,86.64,38.24,100,anomalib.WinClipModel
mvtec_ad,wood,0,97.63,64.53,19.01,79,anomalib.WinClipModel
mvtec_ad,zipper,0,91.68,61.16,23.22,151,anomalib.WinClipModel
visa,candle,0,96.87,78.72,53.66,200,anomalib.WinClipModel
visa,capsules,0,81.35,80.39,22.52,160,anomalib.WinClipModel
visa,cashew,0,91.74,60.85,23.97,150,anomalib.WinClipModel
visa,chewinggum,0,94.86,75.63,35.4,150,anomalib.WinClipModel
visa,fryum,0,75.38,51.95,32.55,150,anomalib.WinClipModel
visa,macaroni1,0,71.71,63.91,30.48,200,anomalib.WinClipModel
visa,macaroni2,0,64.59,53.1,14.2,200,anomalib.WinClipModel
visa,pcb1,0,69.94,40.84,18.82,200,anomalib.WinClipModel
visa,pcb2,0,45.65,39.46,8.57,200,anomalib.WinClipModel
visa,pcb3,0,56.8,48.1,20.0,201,anomalib.WinClipModel
visa,pcb4,0,85.15,67.72,31.83,201,anomalib.WinClipModel
visa,pipe_fryum,0,70.28,24.36,14.56,150,anomalib.WinClipModel
