26-08-18 23:51:55.865 - INFO:
| objects    |   auroc_px |   f1_px |   ap_px |   aupro |   auroc_sp |   f1_sp |   ap_sp |
|:-----------|-----------:|--------:|--------:|--------:|-----------:|--------:|--------:|
| candle     |       87   |     8.9 |     2.3 |    77.7 |       94.9 |    90.6 |    95.4 |
| capsules   |       80   |     4.2 |     1.4 |    39.4 |       79.4 |    80.5 |    87.9 |
| cashew     |       84.8 |     9.6 |     4.8 |    78.4 |       91.2 |    88.9 |    96   |
| chewinggum |       95.4 |    31.5 |    24   |    69.6 |       95.5 |    93.8 |    98.2 |
| fryum      |       87.7 |    16.2 |    11.1 |    74.4 |       73.6 |    80   |    86.9 |
| macaroni1  |       50.3 |     0.1 |     0   |    24.7 |       79   |    74.2 |    80   |
| macaroni2  |       44.7 |     0.1 |     0   |     8   |       67.1 |    68.8 |    65.1 |
| pcb1       |       38.7 |     0.9 |     0.4 |    20.7 |       72.1 |    70.2 |    73   |
| pcb2       |       58.7 |     1.5 |     0.4 |    20.6 |       47   |    67.1 |    46.1 |
| pcb3       |       76   |     2.1 |     0.7 |    43.7 |       63.9 |    67.6 |    63   |
| pcb4       |       91.4 |    24.6 |    15.5 |    74.5 |       74.2 |    75.7 |    70.1 |
| pipe_fryum |       83.6 |     8.3 |     4.4 |    80.3 |       67.8 |    80.3 |    82.1 |
| mean       |       73.2 |     9   |     5.4 |    51   |       75.5 |    78.2 |    78.7 |
